Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,All_Rookie,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2009,NBA,1,7,GSW,Stephen Curry,21.108,G,us,Davidson College,2010,2017,1,574,34.7,22.8,4.4,6.8,1.8,0.2,0.476,0.507,0.438,0.901,84.2,0.203
2009,NBA,1,1,LAC,Blake Griffin,20.106,F,us,University of Oklahoma,2011,2017,1,471,35.2,21.5,9.4,4.1,1,0.6,0.518,0.526,0.299,0.673,62.4,0.181
2011,NBA,1,15,IND,Kawhi Leonard,19.364,F,us,San Diego State University,2012,2017,1,398,30.5,16.4,6.2,2.3,1.8,0.7,0.495,0.537,0.388,0.847,55.4,0.219
2012,NBA,1,1,NOH,Anthony Davis,19.114,F-C,us,University of Kentucky,2013,2017,1,335,34.4,22.4,10.2,1.8,1.3,2.4,0.513,0.524,0.29,0.787,48.8,0.203
2012,NBA,1,6,POR,Damian Lillard,21.354,G,us,Weber State University,2013,2017,1,396,36.4,22.4,4,6.2,0.9,0.3,0.43,0.472,0.37,0.877,45.5,0.152
2010,NBA,1,1,WAS,John Wall,19.296,G,us,University of Kentucky,2011,2017,1,500,36.1,18.8,4.4,9.2,1.7,0.6,0.433,0.456,0.321,0.791,40.5,0.108
2011,NBA,1,1,CLE,Kyrie Irving,19.096,G,au,Duke University,2012,2017,1,381,34.2,21.6,3.4,5.5,1.3,0.3,0.457,0.486,0.383,0.873,40.4,0.149
2009,NBA,1,26,CHI,Taj Gibson,24.007,F,us,University of Southern California,2010,2017,1,585,25.1,9.4,6.3,1,0.5,1.2,0.495,0.498,0.114,0.694,37.6,0.123
2010,NBA,1,5,SAC,DeMarcus Cousins,19.32,C-F,us,University of Kentucky,2011,2017,1,487,32,21.2,10.8,3,1.4,1.2,0.459,0.47,0.33,0.736,36.9,0.114
2011,NBA,1,11,GSW,Klay Thompson,21.14,G,us,Washington State University,2012,2017,1,464,32.7,19.1,3.3,2.3,0.9,0.5,0.453,0.48,0.419,0.853,36.6,0.116
2009,NBA,1,21,NOH,Darren Collison,21.312,G,us,"University of California, Los Angeles",2010,2017,1,563,29.5,12.7,2.6,4.8,1.1,0.1,0.469,0.494,0.38,0.852,35.5,0.102
2011,NBA,1,22,DEN,Kenneth Faried,21.221,F,us,Morehead State University,2012,2017,1,409,25.8,11.9,8.5,1.1,0.8,0.9,0.545,0.547,0.105,0.653,34.6,0.158
2009,NBA,1,10,MIL,Brandon Jennings,19.28,G,us,,2010,2017,1,541,30.8,14.3,3,5.7,1.2,0.2,0.388,0.412,0.346,0.795,29.8,0.086
2009,NBA,1,4,SAC,Tyreke Evans,19.284,G-F,us,University of Memphis,2010,2017,1,473,32.2,16.1,4.8,5.1,1.3,0.4,0.444,0.472,0.295,0.757,23.9,0.075
2009,NBA,1,5,MIN,Ricky Rubio,18.252,G,es,,2012,2017,1,353,31.8,10.3,4.2,8.5,2.1,0.1,0.375,0.396,0.315,0.83,23.2,0.099
2012,NBA,1,7,GSW,Harrison Barnes,20.034,F,us,Univ. of North Carolina,2013,2017,1,386,29.6,11.9,4.7,1.5,0.7,0.2,0.453,0.482,0.37,0.776,22.3,0.094
2012,NBA,1,3,WAS,Bradley Beal,19.005,G,us,University of Florida,2013,2017,1,324,33.3,17.7,3.6,3.1,1,0.3,0.441,0.464,0.399,0.796,21.9,0.098
2013,NBA,1,22,BRK,Mason Plumlee,23.12,C-F,us,Duke University,2014,2017,1,315,23,9,6.5,2,0.8,0.9,0.559,0.564,0,0.582,21.5,0.143
2015,NBA,1,1,MIN,Karl-Anthony Towns,19.227,F-C,us,University of Kentucky,2016,2017,1,164,34.5,21.7,11.4,2.3,0.7,1.5,0.542,0.571,0.361,0.824,21,0.178
2014,NBA,2,41,DEN,Nikola Jokic,19.132,C-F,rs,,2016,2017,1,153,24.6,13.2,8.3,3.6,0.9,0.7,0.55,0.59,0.327,0.818,16.3,0.207
2013,NBA,1,2,ORL,Victor Oladipo,21.059,G,us,Indiana University,2014,2017,1,291,33.2,15.9,4.4,3.7,1.5,0.5,0.434,0.468,0.346,0.8,13.7,0.068
2011,NBA,1,23,HOU,Nikola Mirotic,20.137,F,me,,2015,2017,1,218,22.8,10.8,5.3,1.2,0.8,0.7,0.409,0.482,0.35,0.798,13.4,0.129
2011,NBA,1,8,DET,Brandon Knight,19.208,G,us,University of Kentucky,2012,2017,1,382,31.3,15.2,3.3,4.3,0.9,0.2,0.415,0.445,0.357,0.812,11.6,0.047
2013,NBA,1,6,NOH,Nerlens Noel,19.083,C-F,us,University of Kentucky,2015,2017,1,193,27.6,10,7.5,1.6,1.6,1.5,0.511,0.512,0.333,0.618,11,0.099
2013,NBA,1,24,NYK,Tim Hardaway,21.108,G,us,University of Michigan,2014,2017,1,281,23.4,11,2.1,1.5,0.5,0.2,0.427,0.499,0.352,0.803,10.6,0.077
2010,NBA,2,39,NYK,Landry Fields,22.002,F,us,Stanford University,2011,2015,1,255,23.6,6.8,4.3,1.6,0.8,0.2,0.473,0.52,0.332,0.666,10.5,0.084
2014,NBA,1,1,CLE,Andrew Wiggins,19.128,F-G,ca,University of Kansas,2015,2017,1,245,36.2,20.4,4.1,2.1,1,0.5,0.45,0.471,0.329,0.76,10.3,0.056
2014,NBA,1,10,PHI,Elfrid Payton,20.129,G,us,University of Louisiana at Lafayette,2015,2017,1,237,29.7,10.8,4.2,6.5,1.3,0.3,0.446,0.468,0.289,0.611,8.9,0.061
2015,NBA,1,4,NYK,Kristaps Porzingis,19.332,F-C,lv,,2016,2017,1,138,30.5,16.1,7.2,1.4,0.7,1.9,0.436,0.474,0.346,0.811,8.8,0.101
2012,NBA,1,4,CLE,Dion Waiters,20.206,G,us,Syracuse University,2013,2017,1,335,28.6,13.2,2.7,2.7,1,0.3,0.413,0.44,0.345,0.698,7.4,0.037
2013,NBA,1,9,MIN,Trey Burke,20.232,G,us,University of Michigan,2014,2017,1,267,24.8,10.6,2.1,3.6,0.6,0.1,0.39,0.423,0.337,0.813,6,0.043
2014,NBA,2,46,WAS,Jordan Clarkson,22.024,G,us,University of Missouri,2015,2017,1,220,29.2,14.2,3.4,2.8,1,0.1,0.441,0.484,0.334,0.809,5.7,0.042
2015,NBA,1,13,PHO,Devin Booker,18.242,G,us,University of Kentucky,2016,2017,1,154,31.4,18,2.8,3,0.8,0.3,0.423,0.453,0.354,0.835,3.9,0.038
2013,NBA,1,11,PHI,Michael Carter-Williams,21.266,G,us,Syracuse University,2014,2017,1,235,30,13,5.2,5.4,1.5,0.6,0.407,0.439,0.252,0.696,3.5,0.024
2015,NBA,1,3,PHI,Jahlil Okafor,19.197,C-F,us,Duke University,2016,2017,1,103,26.5,14.7,6,1.2,0.4,1.1,0.51,0.512,0.167,0.679,2.4,0.043
2009,NBA,1,3,OKC,James Harden,19.308,G,us,Arizona State University,2010,2017,,615,33.6,22.1,5,5.7,1.5,0.4,0.442,0.499,0.364,0.854,91.3,0.212
2011,NBA,1,30,CHI,Jimmy Butler,21.287,G-F,us,Marquette University,2012,2017,,399,32.3,15.6,4.8,3.1,1.5,0.5,0.448,0.479,0.337,0.828,49.3,0.184
2011,NBA,2,60,SAC,Isaiah Thomas,22.141,G,us,University of Washington,2012,2017,,441,30,19.1,2.6,5.2,1,0.1,0.443,0.491,0.367,0.876,45.4,0.165
2010,NBA,1,7,DET,Greg Monroe,20.025,C-F,us,Georgetown University,2011,2017,,538,29.7,14.1,8.7,2.3,1.1,0.6,0.511,0.512,0,0.705,45.2,0.136
2010,NBA,1,10,IND,Paul George,20.058,F,us,"Cal State University, Fresno",2011,2017,,448,32.8,18.1,6.3,3.2,1.6,0.4,0.432,0.47,0.37,0.85,44.5,0.145
2009,NBA,1,9,TOR,DeMar DeRozan,19.327,G,us,University of Southern California,2010,2017,,595,34.1,19.3,4.1,2.8,1,0.3,0.446,0.463,0.281,0.828,44.4,0.105
2010,NBA,1,9,UTA,Gordon Hayward,20.098,F-G,us,Butler University,2011,2017,,516,31.3,15.7,4.2,3.4,1,0.4,0.444,0.477,0.368,0.82,43,0.128
2009,NBA,1,18,MIN,Ty Lawson,21.24,G,us,Univ. of North Carolina,2010,2017,,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,42.1,0.126
2009,NBA,1,19,ATL,Jeff Teague,21.02,G,us,Wake Forest University,2010,2017,,600,27,12.6,2.4,5.5,1.2,0.3,0.447,0.476,0.355,0.844,41.2,0.122
2012,NBA,1,9,DET,Andre Drummond,18.327,C,us,University of Connecticut,2013,2017,,385,29.7,13.3,12.8,0.7,1.2,1.5,0.548,0.549,0.263,0.381,36.1,0.151
2011,NBA,1,4,CLE,Tristan Thompson,20.107,F-C,ca,University of Texas at Austin,2012,2017,,466,28.7,9.4,8.6,0.8,0.5,0.8,0.515,0.516,0,0.611,34.9,0.125
2011,NBA,1,5,TOR,Jonas Valanciunas,19.052,C,lt,,2013,2017,,363,26.1,11.5,8.5,0.7,0.4,1.1,0.556,0.556,0.25,0.781,33.6,0.17
2010,NBA,1,3,NJN,Derrick Favors,18.349,F-C,us,Georgia Institute of Technology,2011,2017,,479,25.8,11.4,7.2,1.1,0.8,1.3,0.51,0.512,0.154,0.664,33.5,0.13
2012,NBA,2,35,GSW,Draymond Green,22.122,F,us,Michigan State University,2013,2017,,397,26.8,9,6.8,4.1,1.4,1,0.435,0.494,0.334,0.695,32.9,0.149
2011,NBA,1,9,CHA,Kemba Walker,21.051,G,us,University of Connecticut,2012,2017,,443,33.9,18.4,3.9,5.4,1.4,0.4,0.411,0.441,0.351,0.827,32.6,0.104
2010,NBA,1,13,TOR,Ed Davis,21.024,F,us,Univ. of North Carolina,2011,2017,,481,20.9,6.8,6.4,0.8,0.5,0.9,0.562,0.562,0,0.568,30.5,0.146
2009,NBA,2,46,CLE,Danny Green,22.009,G-F,us,Univ. of North Carolina,2010,2017,,470,25,8.8,3.4,1.6,1,0.8,0.423,0.46,0.4,0.821,30.4,0.124
2013,NBA,1,27,DEN,Rudy Gobert,21.006,C,fr,,2014,2017,,269,27,9.2,9.8,1.1,0.6,2.2,0.612,0.614,0,0.614,30.4,0.201
2011,NBA,1,16,PHI,Nikola Vucevic,20.247,C,ch,University of Southern California,2012,2017,,399,29.9,14.6,9.9,2,0.8,0.9,0.502,0.507,0.297,0.719,28.1,0.113
2011,NBA,2,38,HOU,Chandler Parsons,22.246,F,us,University of Florida,2012,2017,,374,32.1,13.6,4.8,2.9,1,0.4,0.466,0.525,0.373,0.711,28,0.112
2013,NBA,1,15,MIL,Giannis Antetokounmpo,18.208,F-G,gr,,2014,2017,,318,31.8,14.9,6.9,3.6,1.1,1.3,0.497,0.53,0.277,0.74,27,0.128
2009,NBA,1,17,PHI,Jrue Holiday,19.018,G,us,"University of California, Los Angeles",2010,2017,,504,32.3,14.3,3.6,6.2,1.5,0.4,0.441,0.465,0.366,0.788,26.6,0.078
2011,NBA,1,3,UTA,Enes Kanter,19.038,C,ch,,2012,2017,,445,21.3,11.3,6.7,0.6,0.4,0.4,0.53,0.536,0.299,0.768,26.6,0.135
2011,NBA,1,19,CHA,Tobias Harris,18.347,F,us,University of Tennessee,2012,2017,,384,28.8,13.8,5.6,1.6,0.7,0.5,0.469,0.513,0.332,0.809,25.7,0.111
2010,NBA,2,33,SAC,Hassan Whiteside,21.016,C,us,Marshall University,2011,2017,,217,27.1,13.6,11.4,0.4,0.6,2.6,0.585,0.585,,0.611,25.2,0.205
2010,NBA,1,14,HOU,Patrick Patterson,21.107,F,us,University of Kentucky,2011,2017,,477,24,7.9,4.7,1.2,0.6,0.5,0.459,0.506,0.368,0.744,25,0.105
2010,NBA,1,18,OKC,Eric Bledsoe,20.202,G,us,University of Kentucky,2011,2017,,418,27.1,13.1,3.8,4.6,1.4,0.5,0.444,0.481,0.334,0.8,23.3,0.099
2010,NBA,1,23,MIN,Trevor Booker,22.217,F,us,Clemson University,2011,2017,,464,20.9,7,5.6,1,0.7,0.6,0.515,0.533,0.315,0.626,23.3,0.115
2009,NBA,1,27,MEM,DeMarre Carroll,22.339,F,us,University of Missouri,2010,2017,,414,23,8.1,3.8,1.1,1,0.3,0.443,0.496,0.361,0.728,22,0.111
2009,NBA,2,41,MIL,Jodie Meeks,21.314,G,us,University of Kentucky,2010,2017,,454,24,9.8,2.2,1.1,0.8,0.1,0.42,0.469,0.376,0.881,21.9,0.097
2012,NBA,2,34,CLE,Jae Crowder,21.363,F,us,Marquette University,2013,2017,,383,23.2,8.9,3.8,1.4,1,0.3,0.435,0.516,0.346,0.785,21.7,0.117
2011,NBA,1,24,OKC,Reggie Jackson,21.073,G,it,Boston College,2012,2017,,403,24.5,12.2,3,4.3,0.7,0.1,0.431,0.471,0.321,0.86,21.3,0.103
2009,NBA,2,33,POR,Dante Cunningham,22.07,F,us,Villanova University,2010,2017,,578,21.4,6.1,3.8,0.7,0.7,0.5,0.471,0.491,0.326,0.65,20.6,0.08
2009,NBA,1,13,IND,Tyler Hansbrough,23.24,F,us,Univ. of North Carolina,2010,2016,,428,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,20.2,0.134
2009,NBA,2,43,MIA,Marcus Thornton,22.026,G,us,Louisiana State University,2010,2017,,483,23.4,11.9,2.8,1.4,0.8,0.1,0.425,0.471,0.358,0.83,20,0.085
2009,NBA,2,55,POR,Patrick Mills,20.323,G,au,Saint Mary's College of California,2010,2017,,441,17,7.9,1.5,2.2,0.6,0.1,0.436,0.479,0.395,0.833,19.9,0.128
2013,NBA,1,12,OKC,Steven Adams,19.347,C,nz,University of Pittsburgh,2014,2017,,311,23.7,7.5,6.4,0.8,0.7,1,0.567,0.569,0,0.571,19.9,0.13
2009,NBA,2,42,LAL,Patrick Beverley,20.353,G,us,University of Arkansas,2013,2017,,291,28.5,9.3,4.1,3.4,1.3,0.4,0.414,0.46,0.375,0.764,19.6,0.113
2009,NBA,2,39,DET,Jonas Jerebko,22.121,F,se,,2010,2017,,488,18.4,6.2,4.1,0.8,0.6,0.3,0.456,0.501,0.352,0.763,19.1,0.102
2009,NBA,2,37,SAS,DeJuan Blair,20.069,F-C,us,University of Pittsburgh,2010,2016,,424,16.6,6.8,5.1,0.8,0.7,0.3,0.524,0.526,0,0.608,19,0.129
2011,NBA,1,14,HOU,Marcus Morris,21.299,F,us,University of Kansas,2012,2017,,416,26.2,10.8,4.2,1.6,0.7,0.3,0.428,0.471,0.355,0.717,19,0.084
2011,NBA,1,13,PHO,Markieff Morris,21.299,F,us,University of Kansas,2012,2017,,448,26.3,11.9,5.6,1.7,1,0.6,0.447,0.474,0.331,0.774,18.8,0.077
2013,NBA,1,21,UTA,Gorgui Dieng,23.166,C,sn,University of Louisville,2014,2017,,297,26.5,8.9,7.2,1.6,1,1.2,0.511,0.518,0.343,0.786,18.7,0.114
2013,NBA,1,4,CHA,Cody Zeller,20.27,F-C,us,Indiana University,2014,2017,,279,22.9,8,5.6,1.3,0.7,0.8,0.5,0.502,0.154,0.734,18.4,0.138
2009,NBA,1,12,CHA,Gerald Henderson,21.204,G,us,Duke University,2010,2017,,535,25.9,11.2,3.2,1.9,0.7,0.3,0.44,0.46,0.327,0.793,18.3,0.063
2011,NBA,1,7,SAC,Bismack Biyombo,18.303,C-F,cd,,2012,2017,,447,21.4,4.9,6.6,0.4,0.3,1.5,0.511,0.512,0,0.553,18,0.09
2012,NBA,2,39,DET,Khris Middleton,20.326,F-G,us,Texas A&amp;M University,2013,2017,,296,30.6,13.8,3.8,2.7,1.3,0.2,0.45,0.471,0.404,0.874,18,0.095
2013,NBA,1,3,WAS,Otto Porter,20.029,F,us,Georgetown University,2014,2017,,266,24.9,9.3,4.4,1.2,1,0.4,0.481,0.533,0.389,0.774,17.7,0.128
2010,NBA,1,8,LAC,Al-Farouq Aminu,19.281,F,us,Wake Forest University,2011,2017,,520,24.1,7.2,5.7,1.2,1,0.6,0.426,0.467,0.323,0.725,17.4,0.067
2009,NBA,1,16,CHI,James Johnson,22.131,F,us,Wake Forest University,2010,2017,,474,19.7,7.5,3.4,1.8,0.8,1,0.477,0.524,0.297,0.693,17,0.087
2009,NBA,1,8,NYK,Jordan Hill,21.339,C-F,us,University of Arizona,2010,2017,,409,18.8,7.9,5.8,0.8,0.4,0.7,0.497,0.499,0.136,0.699,16.4,0.102
2009,NBA,1,23,SAC,Omri Casspi,21.008,F,il,,2010,2017,,499,21.4,8.2,4.1,1.2,0.6,0.2,0.443,0.488,0.367,0.675,16.1,0.072
2010,NBA,1,2,PHI,Evan Turner,21.245,G,us,Ohio State University,2011,2017,,534,28.2,10.5,5,3.7,0.8,0.2,0.431,0.453,0.298,0.782,15.9,0.051
2013,NBA,1,10,POR,C.J. McCollum,21.287,G,us,Lehigh University,2014,2017,,260,27,15.9,2.7,2.8,0.9,0.3,0.459,0.481,0.413,0.844,15.7,0.107
2012,NBA,1,2,CHA,Michael Kidd-Gilchrist,18.28,F,us,University of Kentucky,2013,2017,,283,27.1,9.1,6.4,1.3,0.7,0.8,0.47,0.474,0.206,0.712,15.5,0.097
2012,NBA,1,21,BOS,Jared Sullinger,20.121,F,us,Ohio State University,2013,2017,,269,24.3,10.8,7.5,1.8,0.7,0.6,0.436,0.476,0.272,0.723,15.3,0.113
2011,NBA,1,29,SAS,Cory Joseph,19.312,G,ca,University of Texas at Austin,2012,2017,,364,19.5,6.8,2.3,2.5,0.6,0.2,0.458,0.487,0.317,0.768,15.2,0.103
2012,NBA,1,18,HOU,Terrence Jones,20.176,F,us,University of Kentucky,2013,2017,,232,24,10.5,5.7,1,0.6,1.2,0.501,0.539,0.299,0.622,14.8,0.128
2012,NBA,1,8,TOR,Terrence Ross,21.149,F-G,us,University of Washington,2013,2017,,387,23.8,9.6,2.6,0.9,0.8,0.3,0.423,0.475,0.374,0.803,14.6,0.076
2013,NBA,1,13,DAL,Kelly Olynyk,22.075,C-F,ca,Gonzaga University,2014,2017,,278,20.7,9.5,4.7,1.7,0.7,0.5,0.477,0.53,0.368,0.743,14.6,0.122
2013,NBA,1,8,DET,Kentavious Caldwell-Pope,20.134,G,us,University of Georgia,2014,2017,,314,30.2,11.7,3,1.6,1.2,0.2,0.405,0.459,0.334,0.785,14.5,0.074
2010,NBA,1,19,BOS,Avery Bradley,19.215,G,us,University of Texas at Austin,2011,2017,,413,28.1,12.1,3.1,1.7,1.1,0.2,0.442,0.477,0.366,0.772,14.4,0.059
2011,NBA,1,2,MIN,Derrick Williams,20.034,F,us,University of Arizona,2012,2017,,426,20.8,8.9,4,0.7,0.5,0.3,0.434,0.484,0.3,0.71,14.1,0.076
2009,NBA,2,44,DET,Chase Budinger,21.039,F,us,University of Arizona,2010,2016,,407,19.7,7.9,3,1.2,0.5,0.2,0.43,0.486,0.352,0.797,13.9,0.083
2010,NBA,2,40,IND,Lance Stephenson,19.297,G-F,us,University of Cincinnati,2011,2017,,358,24.8,8.7,4.1,3,0.7,0.1,0.451,0.496,0.307,0.69,13.8,0.074
2011,NBA,2,50,PHI,Lavoy Allen,22.144,F-C,us,Temple University,2012,2017,,388,17.8,4.8,4.8,1,0.3,0.6,0.471,0.474,0.133,0.682,13.8,0.096
2012,NBA,1,14,MIL,John Henson,21.188,C-F,us,Univ. of North Carolina,2013,2017,,315,19,7.7,5.1,1,0.4,1.5,0.533,0.535,0,0.572,13.8,0.11
2012,NBA,1,17,DAL,Tyler Zeller,22.168,F-C,us,Univ. of North Carolina,2013,2017,,340,17.8,7,4.4,0.9,0.3,0.6,0.499,0.501,0,0.769,13.8,0.11
2012,NBA,1,20,DEN,Evan Fournier,19.247,G-F,fr,,2013,2017,,319,26.3,12.3,2.6,2.2,0.8,0.1,0.445,0.49,0.379,0.791,12.9,0.074
2012,NBA,1,15,PHI,Maurice Harkless,19.053,F-G,us,St. John's University,2013,2017,,356,23.3,7.4,3.7,0.9,1,0.6,0.471,0.537,0.315,0.596,12.7,0.073
2010,NBA,1,28,MEM,Greivis Vasquez,23.165,G,ve,University of Maryland,2011,2017,,401,23.7,9,2.5,4.8,0.6,0.1,0.418,0.456,0.349,0.817,12.6,0.064
2011,NBA,2,40,MIL,Jon Leuer,22.045,F,us,University of Wisconsin,2012,2017,,328,16.5,6.7,4,0.9,0.4,0.3,0.479,0.514,0.338,0.765,12.2,0.108
