Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,All_Rookie,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2010,NBA,1,24,ATL,Damion James,22.266,G-F,us,University of Texas at Austin,2011,2014,,39,16,3.8,3.4,0.7,0.6,0.5,0.415,0.433,0,0.667,0,-0.001
2010,NBA,2,46,PHO,Gani Lawal,21.234,F,us,Georgia Institute of Technology,2011,2011,,1,2,0,0,0,0,0,,,,,0,-0.009
2010,NBA,2,50,DAL,Solomon Alabi,22.1,C,ng,Florida State University,2011,2012,,26,7,1.5,2.3,0.2,0.2,0.4,0.314,0.314,,0.7,0,0.01
2010,NBA,2,53,ATL,Pape Sy,22.085,F,fr,,2011,2011,,3,7,2.3,1,0.7,0.3,0,0.333,0.4,0,1,0,-0.047
2010,NBA,2,56,MIN,Hamady N'Diaye,23.169,C,sn,Rutgers University,2011,2014,,33,4.8,0.6,0.8,0.1,0.1,0.3,0.467,0.467,,0.462,0,0.013
2011,NBA,2,37,LAC,Trey Thompkins,21.039,F,us,University of Georgia,2012,2012,,24,5,2.4,1,0.1,0.1,0.1,0.393,0.417,0.308,0.714,0,0.004
2011,NBA,2,46,LAL,Andrew Goudelock,22.203,G,us,College of Charleston,2012,2016,,49,9.7,4,0.7,0.5,0.2,0,0.393,0.429,0.345,0.875,0,0.003
2011,NBA,2,48,ATL,Keith Benson,22.319,C,us,Oakland University,2012,2012,,3,3,0,1,0,0,0,0,0,,,0,-0.005
2012,NBA,1,16,HOU,Royce White,21.085,F,us,Iowa State University,2014,2014,,3,3,0,0,0,0,0,0,0,,,0,-0.121
2012,NBA,1,22,BOS,Fab Melo,22.014,C,br,Syracuse University,2013,2013,,6,6,1.2,0.5,0,0.3,0.3,0.5,0.5,,0.25,0,0.021
2013,NBA,2,33,CLE,Carrick Felix,22.32,G,us,Arizona State University,2014,2014,,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.057
2013,NBA,2,41,MEM,Jamaal Franklin,21.347,G,us,San Diego State University,2014,2015,,24,7.3,1.8,1,0.4,0.2,0.1,0.415,0.393,0.462,1,0,-0.006
2013,NBA,2,42,PHI,Pierre Jackson,21.308,G,us,Baylor University,2017,2017,,8,10.5,4.4,1.1,2.4,0.3,0,0.333,0.357,0.273,0.857,0,0.021
2014,NBA,2,51,NYK,Thanasis Antetokounmpo,21.349,F,gr,,2016,2016,,2,3,3,0.5,0,0,0,0.75,1,0,,0,0.291
2015,NBA,2,56,NOP,Branden Dawson,22.149,F,us,Michigan State University,2016,2016,,6,4.8,0.8,0.7,0,0,0.2,0.4,0.4,,1,0,0.069
2016,NBA,1,25,LAC,Brice Johnson,22.002,F,us,Univ. of North Carolina,2017,2017,,3,3,1.3,1,0.3,0.7,0.3,0.286,0.286,,,0,-0.164
2016,NBA,1,29,SAS,Dejounte Murray,19.282,G,us,University of Washington,2017,2017,,38,8.5,3.4,1.1,1.3,0.2,0.2,0.431,0.441,0.391,0.7,0,0.004
2016,NBA,1,30,GSW,Damian Jones,20.364,F-C,us,Vanderbilt University,2017,2017,,10,8.5,1.9,2.3,0,0.1,0.4,0.5,0.5,,0.3,0,0.018
2016,NBA,2,41,ORL,Stephen Zimmerman,19.292,C,us,"University of Nevada, Las Vegas",2017,2017,,19,5.7,1.2,1.8,0.2,0.1,0.3,0.323,0.323,,0.6,0,-0.005
2016,NBA,2,46,DAL,A.J. Hammons,23.306,C,us,Purdue University,2017,2017,,22,7.4,2.2,1.6,0.2,0,0.6,0.405,0.375,0.5,0.45,0,-0.001
2016,NBA,2,54,ATL,Kay Felder,21.092,G,us,Oakland University,2017,2017,,42,9.2,4,1,1.4,0.4,0.2,0.392,0.404,0.318,0.714,0,0.004
2009,NBA,2,35,DET,DaJuan Summers,21.158,F,us,Georgetown University,2010,2013,,83,9.9,3.3,1,0.3,0.2,0.1,0.384,0.392,0.367,0.642,-0.1,-0.008
2010,NBA,2,31,NJN,Tibor Pleiss,20.239,C,de,,2016,2016,,12,6.8,2,1.3,0.2,0.1,0.2,0.44,0.478,0,1,-0.1,-0.041
2010,NBA,2,34,POR,Armon Johnson,21.126,G,us,"University of Nevada, Reno",2011,2012,,47,8.5,3.3,1,1.2,0.2,0,0.458,0.465,0.4,0.679,-0.1,-0.015
2011,NBA,2,35,SAC,Tyler Honeycutt,20.348,F,us,"University of California, Los Angeles",2012,2013,,24,5,1.2,1,0.4,0.2,0.2,0.314,0.333,0.2,0.714,-0.1,-0.049
2012,NBA,2,38,DEN,Quincy Miller,19.227,F,us,Baylor University,2013,2015,,69,13.5,4.3,2.4,0.5,0.4,0.5,0.35,0.383,0.292,0.706,-0.1,-0.003
2012,NBA,2,51,BOS,Kris Joseph,23.199,F,ca,Syracuse University,2013,2013,,10,5.4,0.9,0.7,0.1,0.3,0,0.143,0.182,0,0.625,-0.1,-0.127
2013,NBA,2,40,POR,Grant Jerrett,19.359,F,us,University of Arizona,2015,2015,,8,6.4,2,1.1,0.4,0.3,0.3,0.269,0.545,0.067,1,-0.1,-0.128
2013,NBA,2,49,CHI,Erik Murphy,22.25,F,fr,University of Florida,2014,2014,,24,2.6,0.3,0.3,0.1,0,0.2,0.231,0.3,0,,-0.1,-0.055
2014,NBA,2,31,MIL,Damien Inglis,19.042,F,gf,,2016,2016,,20,7.8,1.8,1.6,0.5,0.3,0.2,0.351,0.417,0.231,0.875,-0.1,-0.024
2014,NBA,2,36,MIL,Johnny O'Bryant III,21.03,F-C,us,Louisiana State University,2015,2017,,111,11.8,3,2.3,0.5,0.2,0.1,0.404,0.401,0.571,0.603,-0.1,-0.003
2014,NBA,2,42,HOU,Nick Johnson,21.191,G,us,University of Arizona,2015,2015,,28,9.4,2.6,1.4,0.4,0.3,0.1,0.347,0.389,0.238,0.68,-0.1,-0.02
2014,NBA,2,49,CHI,Cameron Bairstow,23.207,F-C,au,University of New Mexico,2015,2016,,36,4.6,1.2,1,0.2,0.1,0.1,0.296,0.306,0.2,0.846,-0.1,-0.021
2015,NBA,2,43,IND,Joseph Young,23.003,G,us,University of Oregon,2016,2017,,74,7,3,0.9,1.1,0.3,0,0.365,0.424,0.217,0.775,-0.1,-0.012
2016,NBA,2,40,NOP,Diamond Stone,19.138,C,us,University of Maryland,2017,2017,,7,3.4,1.4,0.9,0,0,0.1,0.231,0.231,,1,-0.1,-0.211
2016,NBA,2,49,DET,Michael Gbinije,24.024,G,us,Syracuse University,2017,2017,,9,3.6,0.4,0.3,0.2,0,0,0.1,0.167,0,1,-0.1,-0.136
2016,NBA,2,51,BOS,Ben Bentil,21.092,F,gh,Providence College,2017,2017,,3,3.3,0,0.7,0,0,0,0,0,0,,-0.1,-0.473
2009,NBA,1,11,NJN,Terrence Williams,22.003,F,us,University of Louisville,2010,2013,,153,19.1,7.1,3.6,2.4,0.5,0.1,0.412,0.432,0.317,0.659,-0.2,-0.004
2010,NBA,1,21,OKC,Craig Brackins,22.264,F,us,Iowa State University,2011,2012,,17,7.1,1.8,1.1,0.5,0.1,0.1,0.265,0.286,0.214,0.5,-0.2,-0.089
2010,NBA,2,37,MIL,Darington Hobson,22.274,G,us,University of New Mexico,2012,2012,,5,7.8,0.8,0.6,1.2,0,0,0.154,0.286,0,,-0.2,-0.225
2010,NBA,2,38,NYK,Andy Rautins,23.24,G,us,Syracuse University,2011,2011,,5,4.8,1.6,0.2,0.6,0.2,0,0.429,0.667,0.25,0.5,-0.2,-0.314
2012,NBA,2,54,PHI,Tornike Shengelia,20.272,F,ge,,2013,2014,,45,5.5,1.3,0.9,0.4,0.1,0,0.451,0.512,0.125,0.5,-0.2,-0.032
2013,NBA,2,35,PHI,Glen Rice,22.183,G,us,Georgia Institute of Technology,2014,2015,,16,9.5,2.7,1.5,0.6,0.4,0.1,0.269,0.286,0.25,0.692,-0.2,-0.065
2013,NBA,2,52,MIN,Lorenzo Brown,22.311,G,us,North Carolina State University,2014,2016,,63,13.2,3.3,1.7,2.3,0.7,0.2,0.369,0.455,0.152,0.667,-0.2,-0.013
2013,NBA,2,56,DET,Peyton Siva,22.252,G,us,University of Louisville,2014,2014,,24,9.3,2.3,0.6,1.4,0.4,0,0.316,0.344,0.28,0.733,-0.2,-0.032
2014,NBA,2,47,PHI,Russ Smith,23.074,G,us,University of Louisville,2015,2016,,27,4.9,2,0.6,0.7,0.3,0,0.319,0.387,0.188,0.769,-0.2,-0.068
2016,NBA,1,18,DET,Henry Ellenson,19.166,F,us,Marquette University,2017,2017,,19,7.7,3.2,2.2,0.4,0.1,0.1,0.359,0.433,0.294,0.5,-0.2,-0.071
2011,NBA,2,32,CLE,Justin Harper,21.302,F,us,University of Richmond,2012,2017,,22,6.8,2,0.8,0.2,0.1,0.1,0.34,0.417,0.276,0.333,-0.3,-0.093
2011,NBA,2,41,LAL,Darius Morris,20.176,G,us,University of Michigan,2012,2015,,132,11.1,3.3,1,1.4,0.3,0,0.384,0.416,0.322,0.63,-0.3,-0.01
2012,NBA,2,47,UTA,Kevin Murphy,22.12,G,us,Tennessee Technological University,2013,2013,,17,3.1,0.9,0.2,0.1,0.1,0,0.25,0.261,0.2,,-0.3,-0.272
2012,NBA,2,55,DAL,Darius Johnson-Odom,22.279,G,us,Marquette University,2013,2014,,7,3,0,0.9,0.3,0.1,0,0,0,0,0,-0.3,-0.597
2014,NBA,1,20,TOR,Bruno Caboclo,18.283,F,br,,2015,2017,,23,4.6,1.2,0.6,0.2,0.2,0.1,0.275,0.25,0.313,,-0.3,-0.143
2014,NBA,2,56,DEN,Roy Devyn Marble,21.283,G-F,us,University of Iowa,2015,2016,,44,10.4,2.2,1.6,0.7,0.5,0.1,0.304,0.377,0.222,0.375,-0.3,-0.028
2015,NBA,2,34,LAL,Anthony Brown,22.263,F-G,us,Stanford University,2016,2017,,40,19,4,2.6,0.7,0.5,0.2,0.324,0.38,0.278,0.85,-0.3,-0.019
2016,NBA,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,2017,2017,,79,28.8,9.4,4,2.1,0.6,0.4,0.402,0.443,0.294,0.621,-0.3,-0.007
2016,NBA,1,4,PHO,Dragan Bender,18.223,F,ba,,2017,2017,,43,13.3,3.4,2.4,0.5,0.2,0.5,0.354,0.483,0.277,0.364,-0.3,-0.029
2016,NBA,1,17,MEM,Wade Baldwin,20.091,G,us,Vanderbilt University,2017,2017,,33,12.3,3.2,1.4,1.8,0.6,0.2,0.316,0.359,0.136,0.838,-0.3,-0.041
2016,NBA,2,47,ORL,Jake Layman,22.114,F,us,University of Maryland,2017,2017,,35,7.1,2.2,0.7,0.3,0.2,0.1,0.292,0.342,0.255,0.765,-0.3,-0.056
2016,NBA,2,50,IND,Georges Niang,23.012,F,us,Iowa State University,2017,2017,,23,4,0.9,0.7,0.2,0.1,0,0.25,0.333,0.083,1,-0.3,-0.168
2009,NBA,1,30,CLE,Christian Eyenga,20.008,F,cd,,2011,2012,,51,20.6,6.3,2.7,0.8,0.7,0.6,0.411,0.464,0.277,0.611,-0.4,-0.02
2013,NBA,1,30,PHO,Nemanja Nedovic,22.017,G,rs,,2014,2014,,24,5.9,1.1,0.6,0.5,0,0,0.205,0.238,0.167,0.875,-0.4,-0.132
2013,NBA,2,43,MIL,Ricky Ledo,20.295,G,us,Providence College,2014,2015,,28,9.9,3.9,1.4,0.8,0.3,0,0.336,0.321,0.371,0.769,-0.6,-0.096
2014,NBA,2,34,NYK,Cleanthony Early,23.076,F,us,Wichita State University,2015,2016,,56,14.3,4.3,2.2,0.8,0.5,0.3,0.346,0.4,0.263,0.75,-0.6,-0.039
2011,NBA,2,49,MEM,Josh Selby,20.093,G,us,University of Kansas,2012,2013,,38,7.8,2.2,0.5,0.9,0.2,0,0.33,0.384,0.143,0.72,-0.7,-0.113
2014,NBA,1,15,ATL,Adreian Payne,23.133,F-C,us,Michigan State University,2015,2017,,102,13.3,4,3,0.6,0.4,0.3,0.399,0.424,0.232,0.67,-0.7,-0.026
2011,NBA,1,21,POR,Nolan Smith,22.338,G,us,Duke University,2012,2013,,84,9.9,3.3,1,1.2,0.3,0,0.371,0.407,0.26,0.714,-0.8,-0.047
2012,NBA,1,29,CHI,Marquis Teague,19.125,G,us,University of Kentucky,2013,2014,,88,9.5,2.3,1,1.4,0.2,0.1,0.349,0.377,0.22,0.686,-0.8,-0.046
2015,NBA,1,17,MIL,Rashad Vaughn,18.317,G,us,"University of Nevada, Las Vegas",2016,2017,,111,13.1,3.2,1.2,0.6,0.4,0.2,0.327,0.356,0.303,0.7,-0.8,-0.026
2016,NBA,2,42,UTA,Isaiah Whitehead,21.113,G,us,Seton Hall University,2017,2017,,73,22.5,7.4,2.5,2.6,0.6,0.5,0.402,0.446,0.295,0.805,-0.8,-0.024
2012,NBA,2,41,POR,Tyshawn Taylor,22.083,G,us,University of Kansas,2013,2014,,61,8,2.9,0.5,0.9,0.4,0,0.354,0.353,0.36,0.684,-0.9,-0.088
2009,NBA,1,6,MIN,Jonny Flynn,20.144,G,us,Syracuse University,2010,2012,,163,22.9,9.2,1.9,3.9,0.7,0,0.4,0.42,0.338,0.809,-1.1,-0.015
2012,NBA,1,25,MEM,Tony Wroten,19.081,G,us,University of Washington,2013,2016,,145,21.2,11.1,2.5,3,0.9,0.2,0.413,0.477,0.231,0.647,-1.3,-0.021
2015,NBA,1,7,DEN,Emmanuel Mudiay,19.116,G,cd,,2016,2017,,123,28.2,12,3.3,4.8,0.9,0.4,0.369,0.389,0.318,0.721,-1.9,-0.027
2009,NBA,2,34,DEN,Sergio Llull,21.228,G,es,,,,,,,,,,,,,,,,,
2009,NBA,2,47,MIN,Henk Norel,21.287,F-C,nl,,,,,,,,,,,,,,,,,
2009,NBA,2,49,ATL,Sergiy Gladyr,19.256,G,ua,,,,,,,,,,,,,,,,,
2009,NBA,2,50,UTA,Goran Suton,,,,Michigan State University,,,,,,,,,,,,,,,,
2009,NBA,2,51,SAS,Jack McClinton,,,,University of Miami,,,,,,,,,,,,,,,,
2009,NBA,2,54,CHA,Robert Vaden,,,,University of Alabama at Birmingham,,,,,,,,,,,,,,,,
2009,NBA,2,56,DAL,Ahmad Nivins,,,,Saint Joseph's University,,,,,,,,,,,,,,,,
2009,NBA,2,57,PHO,Emir Preldzic,21.298,F-G,ba,,,,,,,,,,,,,,,,,
2009,NBA,2,59,LAL,Chinemelu Elonu,22.112,C-F,ng,Texas A&amp;M University,,,,,,,,,,,,,,,,
2009,NBA,2,60,MIA,Robert Dozier,,,,University of Memphis,,,,,,,,,,,,,,,,
2010,NBA,2,36,DET,Terrico White,,,,University of Mississippi,,,,,,,,,,,,,,,,
2010,NBA,2,42,MIA,Da'Sean Butler,,,,West Virginia University,,,,,,,,,,,,,,,,
2010,NBA,2,45,MIN,Paulao Prestes,22.135,C,br,,,,,,,,,,,,,,,,,
2010,NBA,2,47,MIL,Tiny Gallon,,,,University of Oklahoma,,,,,,,,,,,,,,,,
2010,NBA,2,48,MIA,Latavious Williams,21.092,F,us,,,,,,,,,,,,,,,,,
2010,NBA,2,49,SAS,Ryan Richards,19.066,F-C,gb,,,,,,,,,,,,,,,,,
2010,NBA,2,51,OKC,Magnum Rolle,,,,Louisiana Tech University,,,,,,,,,,,,,,,,
2010,NBA,2,59,ORL,Stanley Robinson,,,,University of Connecticut,,,,,,,,,,,,,,,,
2010,NBA,2,60,PHO,Dwayne Collins,22.077,F,us,University of Miami,,,,,,,,,,,,,,,,
2011,NBA,2,51,POR,Jon Diebler,23.006,G,us,Ohio State University,,,,,,,,,,,,,,,,
2011,NBA,2,54,CLE,Milan Macvan,21.224,F-C,hr,,,,,,,,,,,,,,,,,
2011,NBA,2,56,LAL,Chukwudiebere Maduabum,20.101,F,ng,,,,,,,,,,,,,,,,,
2011,NBA,2,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,,,
2011,NBA,2,58,LAL,Ater Majok,23.36,F-C,sd,,,,,,,,,,,,,,,,,
2011,NBA,2,59,SAS,Adam Hanga,22.077,G,hu,,,,,,,,,,,,,,,,,
2012,NBA,2,50,DEN,Izzet Turkyilmaz,22.045,C-F,tr,,,,,,,,,,,,,,,,,
2012,NBA,2,56,TOR,Tomislav Zubcic,22.178,F,hr,,,,,,,,,,,,,,,,,
2012,NBA,2,57,NJN,Ilkan Karaman,22.052,F,tr,,,,,,,,,,,,,,,,,
2012,NBA,2,59,SAS,Marcus Denmon,22.106,G,us,University of Missouri,,,,,,,,,,,,,,,,
2013,NBA,1,28,SAS,Livio Jean-Charles,19.236,F,gf,,,,,,,,,,,,,,,,,
2013,NBA,2,45,POR,Marko Todorovic,21.074,F,me,,,,,,,,,,,,,,,,,
2013,NBA,2,51,ORL,Romero Osby,,,,University of Oklahoma,,,,,,,,,,,,,,,,
2013,NBA,2,53,IND,Colton Iverson,24.004,C,us,Colorado State University,,,,,,,,,,,,,,,,
2013,NBA,2,54,WAS,Arsalan Kazemi,23.072,F,ir,University of Oregon,,,,,,,,,,,,,,,,
2013,NBA,2,57,PHO,Alex Oriakhi,23.012,F,us,University of Missouri,,,,,,,,,,,,,,,,
2013,NBA,2,58,SAS,Deshaun Thomas,21.308,F,us,Ohio State University,,,,,,,,,,,,,,,,
2013,NBA,2,59,MIN,Bojan Dubljevic,21.252,F-C,me,,,,,,,,,,,,,,,,,
2013,NBA,2,60,MEM,Janis Timma,21,F,lv,,,,,,,,,,,,,,,,,
2014,NBA,1,27,PHO,Bogdan Bogdanovic,21.317,G,rs,,,,,,,,,,,,,,,,,
2014,NBA,2,37,TOR,DeAndre Daniels,22.077,F,us,University of Connecticut,,,,,,,,,,,,,,,,
2014,NBA,2,50,PHO,Alec Brown,21.343,F-C,us,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,,
2014,NBA,2,52,PHI,Vasilije Micic,20.169,G,rs,,,,,,,,,,,,,,,,,
2014,NBA,2,53,MIN,Alessandro Gentile,21.231,F,it,,,,,,,,,,,,,,,,,
2014,NBA,2,54,PHI,Nemanja Dangubic,21.079,G,rs,,,,,,,,,,,,,,,,,
2014,NBA,2,57,IND,Louis Labeyrie,22.141,F,fr,,,,,,,,,,,,,,,,,
2014,NBA,2,59,TOR,Xavier Thames,23.164,G,us,San Diego State University,,,,,,,,,,,,,,,,
2015,NBA,1,26,SAS,Nikola Milutinov,20.182,C,rs,,,,,,,,,,,,,,,,,
2015,NBA,2,31,MIN,Cedi Osman,20.083,F,mk,,,,,,,,,,,,,,,,,
2015,NBA,2,39,CHO,Juan Pablo Vaulet,19.099,F,ar,,,,,,,,,,,,,,,,,
2015,NBA,2,42,UTA,Olivier Hanlan,22.135,G,ca,Boston College,,,,,,,,,,,,,,,,
2015,NBA,2,45,BOS,Marcus Thornton,22.141,G,us,College of William &amp; Mary,,,,,,,,,,,,,,,,
2015,NBA,2,47,PHI,Arturas Gudaitis,22.011,C,lt,,,,,,,,,,,,,,,,,
2015,NBA,2,48,OKC,Dakari Johnson,19.281,C,us,University of Kentucky,,,,,,,,,,,,,,,,
2015,NBA,2,49,WAS,Aaron White,22.293,F,us,University of Iowa,,,,,,,,,,,,,,,,
2015,NBA,2,50,ATL,Marcus Eriksson,21.207,G,se,,,,,,,,,,,,,,,,,
2015,NBA,2,51,ORL,Tyler Harvey,21.348,G,us,Eastern Washington University,,,,,,,,,,,,,,,,
2015,NBA,2,52,DAL,Satnam Singh,19.202,C,in,,,,,,,,,,,,,,,,,
2015,NBA,2,53,CLE,Sir'Dominic Pointer,23.055,G-F,us,St. John's University,,,,,,,,,,,,,,,,
2015,NBA,2,54,UTA,Dani Diez,22.084,F,es,,,,,,,,,,,,,,,,,
2015,NBA,2,55,SAS,Cady Lalanne,23.069,C,ht,University of Massachusetts Amherst,,,,,,,,,,,,,,,,
2015,NBA,2,57,DEN,Nikola Radicevic,21.066,G,rs,,,,,,,,,,,,,,,,,
2015,NBA,2,58,PHI,J.P. Tokoto,21.288,G-F,us,Univ. of North Carolina,,,,,,,,,,,,,,,,
2015,NBA,2,59,ATL,Dimitrios Agravanis,20.192,F-C,gr,,,,,,,,,,,,,,,,,
2015,NBA,2,60,PHI,Luka Mitrovic,22.101,F,rs,,,,,,,,,,,,,,,,,
2016,NBA,1,1,PHI,Ben Simmons,19.343,F,au,Louisiana State University,,,,,,,,,,,,,,,,
2016,NBA,1,16,BOS,Guerschon Yabusele,20.194,F,fr,,,,,,,,,,,,,,,,,
2016,NBA,1,23,BOS,Ante Zizic,19.175,F-C,hr,,,,,,,,,,,,,,,,,
2016,NBA,1,26,PHI,Furkan Korkmaz,19.155,G,tr,,,,,,,,,,,,,,,,,
2016,NBA,2,35,BOS,Rade Zagorac,20.321,G-F,rs,,,,,,,,,,,,,,,,,
2016,NBA,2,39,NOP,David Michineau,22.023,G,gp,,,,,,,,,,,,,,,,,
2016,NBA,2,43,HOU,Zhou Qi,20.164,F-C,cn,,,,,,,,,,,,,,,,,
2016,NBA,2,44,ATL,Isaia Cordinier,19.212,G,fr,,,,,,,,,,,,,,,,,
2016,NBA,2,53,DEN,Petr Cornelie,20.338,F,fr,,,,,,,,,,,,,,,,,
2016,NBA,2,55,BRK,Marcus Paige,22.291,G,us,Univ. of North Carolina,,,,,,,,,,,,,,,,
2016,NBA,2,56,DEN,Daniel Hamilton,20.325,G-F,us,University of Connecticut,,,,,,,,,,,,,,,,
2016,NBA,2,57,MEM,Wang Zhelin,22.16,C,cn,,,,,,,,,,,,,,,,,
2016,NBA,2,58,BOS,Abdel Nader,22.277,F,eg,Iowa State University,,,,,,,,,,,,,,,,
2016,NBA,2,59,SAC,Isaiah Cousins,22.108,G,us,University of Oklahoma,,,,,,,,,,,,,,,,
2016,NBA,2,60,UTA,Tyrone Wallace,22.019,G,us,University of California,,,,,,,,,,,,,,,,
